Knowledge gaps
Disease prevalence should be measured in fragmented long-term ecological study sites, such as Stability of Altered Forest Ecosystems (S.A.F.E.) in Borneo  or Biological Dynamics of Forest Fragments Project (B.D.F.F.P.) in Brazil. These systems have existing data on host demographics, population densities, community compositions and environmental changes, which would complement disease-dynamic investigations. Changes in pathogen prevalence can be observed with respect to transmission mode, pathogen characteristics and host competence in order to disentangle mechanisms driving transmission dynamics.
First, we must increase the number of disease systems for which we understand the effects of biodiversity loss on disease transmission across a range of spatial and temporal scales. We must also focus on how to implement specific policies informed by this science. Future research, for example, should monitor changes in epidemiology in regions in which conservation measures are imposed compared to reference sites.
VBD transmission also could be affected by other large-scale increases in woody cover, such as afforestation, the establishment of trees in previously non-forested areas for uses like biofuel production  and carbon sequestration. Further research should address these possibilities, in addition to evaluating drivers, mechanisms, feedbacks and multiscale effects of WPE on VBD systems. The enhanced knowledge base resulting from this research will be crucial for understanding, predicting and mitigating health impacts of the global phenomenon of WPE.
Understanding factors related to the dynamics of WNV transmission, such as variation in vector and host competence and mosquito feeding preference, will clarify causes for variation of WNV transmission. 
the priority must be to confirm cause and effect of the actions humans are taking in driving disease emergence and then, designing innovative preventive measures 
"whether past pathogens went extinct following the loss of their host or evolved to new hosts could potentially be tested through metagenomics to understand the range of pathogens present in deposits of extinct mammal dung.
"
To understand the mechanistic basis for competence-extirpation risk relationships, it will likely be necessary to broaden empirical work to account for life-history trade-offs and pathogen adaptation. 
understanding the dynamics of WNV at a regional scale in a rapidly growing metropolitan area by demonstrating that WNV antibody prevalence in the avian community was strongly associated with urbanization. Further studies to identify the mechanisms driving this pattern are critical for understanding the dynamics of this and other complex multi-host infectious diseases.
revisiting of the sustainable oil palm certification scheme is essential to support small-scale farmers who achieve higher biodiversity from a more heterogeneous cropping landscape . Research on critical thresholds for mammalian species richness within different scenarios of oil palm coverage is required in Malaysia and Indonesia to assist with mammal conservation in and around the plantations. Wildlife corridors, where forests are allowed to regenerate, or are assisted with enrichment planting, are required to support movement of threatened wildlife. 
It is critical to continue to fully elucidate the role of vectors other than Ae. triseriatus, as well as the role of environmental changes such as logging in the dynamics of LACV transmission in Appalachian regions, which continue to be important emerging foci for this disease.
"quantitative analyses concerning the relevance of wildlife pathways in AR dissemination vs other ones -i. e. human travellers, vs migratory birds; or fomites and direct human-to-human contact, vs flies and cockroaches co-existing with humans- remain to be performed."
the necessity of improving our knowledge of bat ecology.
We suggest that research and management of potential EIDs and zoonoses must become a priority for human welfare and biodiversity conservation in High Asia. 
a general need for improved surveillance systems in the most vulnerable global areas. Strong foundational knowledge of which types of flooding events lead to increases for particular diseases under which temporal and geographic contexts will be helpful in disaster planning, surveillance, and management. gaps in the quality of the evidence found in this review highlight key domains where surveillance and research can focus to obtain more consistent pre-event numbers for reliable comparisons. 
Therefore, to significantly increase scientific knowledge, it is essential to more diligently scrutinize the biology of this complex eco-epidemiological system and human LB case numbers. Data about the actual burden of this disease are undoubtedly needed for health authorities to implement and improve surveillance and control measures, in particular in the light that no vaccine is currently available.
A model that couples movement and disease dynamics may then contribute to the development of control strategies that are robust to behavioral changes by anticipating how hosts might balance the trade-offs between infection risk and travel cost as an outbreak continues.
impact of global anthropogenic environmental change on terrestrial, aquatic and marine habitats, the extent of its influence on wildlife disease ecology is under-researched. The translocation of hosts, parasites (‘pathogen pollution’) or both by humans is a significant driver of disease emergence and should be considered a form of global anthropogenic environmental change in the same way as biological invasions. Significant efforts to prevent disease translocation are urgently required. These should be underpinned by further research to define the scope of pathogen pollution, its cost to biodiversity, to public health and to the economy of nations.
